ngay,ngay_thu,dacbiet,giainhat,giainhi_0,giainhi_1,giaiba_0,giaiba_1,giaiba_2,giaiba_3,giaiba_4,giaiba_5,giaitu_0,giaitu_1,giaitu_2,giaitu_3,giainam_0,giainam_1,giainam_2,giainam_3,giainam_4,giainam_5,giaisau_0,giaisau_1,giaisau_2,giaibay_0,giaibay_1,giaibay_2,giaibay_3
20030422,2,43537,34723,27829,80584,83879,60471,61557,70700,48433,4082,4082,4116,4799, ,9173,3020,4527,4259, , ,466,887,943,27,66,72,91
20030423,3,07164,95592,87200,91294,71134,28874,17843,05030,46402,3951,3951,4815,3460, ,1383,2003,0761,8121, , ,038,861,447,22,31,87,45
20030424,4,30141,08099,08081,53363,08710,56098,28849,10908,55351,2306,2306,6993,1979, ,2644,2261,0117,8618, , ,455,074,222,48,59,86,46
20030425,5,91699,81661,33119,09647,30866,62432,73537,67066,55322,9419,9419,1228,0096, ,5227,2187,3928,3715, , ,902,915,524,79,67,66,71
20030426,6,89535,16328,57328,55133,15750,22665,81289,55950,91385,8752,8752,5435,5186, ,3238,3280,5195,1163, , ,955,491,506,99,98,12,93
20030427,0,23148,07835,27238,41173,36841,14964,97183,31260,52551,0937,0937,2994,7494, ,0769,4567,0544,4652, , ,638,470,490,79,28,89,34
20030428,1,32371,82016,36653,77623,72507,92237,81213,83265,17530,4788,4788,0917,2605, ,6776,5764,0545,3368, , ,986,021,779,35,98,61,95
20030429,2,82090,92037,35720,57574,62202,88361,09464,98129,52552,2575,2575,2614,6539, ,6732,4798,2776,2593, , ,315,159,674,41,02,62,32
20030430,3,62323,25338,20409,78920,01710,62424,06394,67941,37937,2717,2717,7137,2739, ,8153,8585,9634,4767, , ,813,462,923,54,89,02,90
20030501,4,86479,89278,76795,10647,59834,86196,11005,59226,14383,0297,0297,1200,0118, ,9482,3076,5239,3512, , ,652,811,983,26,07,69,22
20030502,5,52854,41272,66531,93763,72882,76156,99418,46977,59624,2381,2381,6519,8078, ,9717,0110,5017,5604, , ,544,779,236,37,96,99,39
20030503,6,26098,04154,83720,05997,69623,04113,90329,31751,04642,5532,5532,5524,2349, ,9273,4004,6294,4136, , ,913,198,857,69,78,24,29
20030504,0,69237,72655,89608,78182,55447,86852,25717,65106,43187,6582,6582,2078,3951, ,1653,4681,3202,3168, , ,034,343,871,69,05,25,02
20030505,1,12864,89506,25721,23107,75236,38298,22501,48486,54085,8755,8755,4010,3578, ,3325,8038,8666,4610, , ,058,694,320,89,55,83,26
20030506,2,94171,52921,88321,55770,71487,43485,66325,84934,02394,7492,7492,7948,3530, ,7487,9726,5348,6568, , ,380,094,162,26,22,75,49
20030507,3,57219,52383,85182,30494,51543,59992,25279,79324,97895,4033,4033,9570,0254, ,7653,1210,8024,6701, , ,479,037,070,19,08,12,28
20030508,4,53514,30183,88011,02775,28617,87330,45260,22305,54045,6918,6918,4309,3422, ,2108,7735,0159,0471, , ,248,645,438,93,30,31,16
20030509,5,41701,52911,13174,71261,35744,38927,14091,24000,64455,2821,2821,6618,4555, ,1263,1253,7988,0191, , ,496,432,800,17,23,22,58
20030510,6,97435,45555,02337,27355,18983,51124,29174,96708,53198,6360,6360,3678,5229, ,6796,0830,7564,1858, , ,833,474,004,56,99,13,67
20030511,0,02615,48140,89234,20471,55146,21151,21453,53747,96120,8546,8546,0401,4340, ,7205,5034,7380,3040, , ,355,512,901,16,41,50,92
20030512,1,71036,20334,66920,15309,33382,29537,17247,32203,84700,7257,7257,8599,9042, ,9750,3845,4319,1082, , ,290,986,688,39,93,75,01
20030513,2,49267,19685,17687,11273,67141,32381,44898,40138,33775,1276,1276,5922,9549, ,6576,3362,6511,8973, , ,735,903,533,51,79,27,93
20030514,3,41567,30422,70118,71854,99394,53052,88800,79998,57993,9999,9999,0853,9136, ,8232,7513,5316,2584, , ,691,121,054,87,79,05,77
20030515,4,22352,18559,30714,06733,90878,80464,22535,19153,69227,0040,0040,3855,6232, ,2947,6641,4687,6849, , ,623,655,161,28,39,62,53
20030516,5,58792,91896,89602,21096,41891,10228,29442,40791,61465,5920,5920,3849,7840, ,5649,5399,1799,1289, , ,762,873,087,49,16,76,68
20030517,6,37866,92505,19754,58828,98568,63417,80921,54820,53134,7967,7967,7951,5464, ,1487,7255,4187,3910, , ,815,069,526,46,88,13,90
20030518,0,89958,62321,83045,39583,99787,07747,53789,96443,42570,4726,4726,2690,4404, ,9858,2608,8272,3449, , ,641,375,691,31,17,62,80
20030519,1,99467,16177,18070,02468,43323,36438,95575,45207,84869,8097,8097,4692,4500, ,9673,6922,8786,8939, , ,980,041,997,80,15,09,43
20030520,2,01832,05603,69731,96560,99485,26120,80137,80797,75957,9754,9754,5629,6953, ,2556,3503,0739,9359, , ,283,986,367,14,96,93,82
20030521,3,47542,97886,78269,05642,44108,12666,30549,18751,92146,8538,8538,3099,4563, ,8604,0678,0340,4163, , ,582,348,395,70,03,10,89
20030522,4,93378,07047,19988,03672,62719,43979,24413,13781,46970,0339,0339,3346,4407, ,5195,4891,0642,8127, , ,145,851,829,39,31,20,19
20030523,5,87328,22436,75021,07192,40672,83032,75357,87056,00466,6427,6427,0522,5279, ,5682,3305,1440,2941, , ,052,495,068,22,88,31,60
20030524,6,08195,68437,36750,26313,63455,65872,69409,99700,49966,3459,3459,9515,2594, ,1481,8193,6603,5232, , ,351,219,735,76,16,01,27
20030525,0,77570,98204,92680,68062,55008,31897,45166,51128,99039,1812,1812,3455,9900, ,9627,1642,1952,9501, , ,701,467,192,20,72,10,62
20030526,1,32809,83696,37923,57185,56133,65475,94054,95287,57074,9506,9506,7159,1289, ,0090,8529,7813,6763, , ,856,904,801,53,56,30,98
20030527,2,86115,76073,36561,81604,62131,07580,40771,00250,40285,8366,8366,5327,3378, ,7316,9224,2782,1923, , ,683,626,330,67,55,95,09
20030528,3,39082,15912,92026,99782,24595,77707,19680,28364,75204,2776,2776,3304,2955, ,2759,4504,3175,8737, , ,704,384,770,46,23,98,95
20030529,4,06794,14888,88678,29309,39815,58174,33033,05662,77467,9917,9917,9816,6604, ,5828,4148,3616,8688, , ,974,791,350,32,72,07,79
20030530,5,65132,14348,52989,12722,00439,00188,17708,23852,27166,7774,7774,5709,8103, ,4294,3610,6213,3105, , ,608,719,224,20,32,90,58
20030531,6,1508,16624,57940,97362,24986,45338,46911,56521,11461,6729,6729,7121,6419, ,6263,4057,2006,0568, , ,456,882,132,87,14,30,82
20030601,0,36641,51102,50807,96356,74766,20168,95688,26209,24596,0816,0816,2788,3808, ,6950,0097,9587,4779, , ,798,470,478,19,58,89,11
20030602,1,85451,81232,29527,54561,83353,18305,36547,90197,76358,7160,7160,4696,1664, ,6647,7938,3324,7471, , ,562,767,882,06,56,62,28
20030603,2,56412,66128,49502,85022,44494,03595,86920,18943,36445,9118,9118,8714,9305, ,1168,8935,4479,6439, , ,731,953,927,91,54,39,93
20030604,3,48997,45827,61380,75633,40052,40275,37524,68315,23981,1625,1625,3754,6682, ,7428,8673,0703,7038, , ,343,452,947,87,91,85,98
20030605,4,71582,46005,26884,41233,57121,90419,87207,03292,56228,4295,4295,8699,2182, ,1633,7983,8144,0579, , ,278,276,994,80,93,26,01
20030606,5,68430,89579,36778,82022,52501,24909,75372,30762,16184,7598,7598,4889,7671, ,1025,9054,8347,5777, , ,943,957,207,23,99,90,77
20030607,6,84032,74424,93323,57750,61701,62271,82713,01054,27956,8701,8701,6508,2543, ,5808,4428,2594,4292, , ,000,721,539,52,72,47,28
20030608,0,72286,73900,80682,68052,08199,84032,70470,75704,34967,8640,8640,5831,1751, ,2246,6198,2647,2657, , ,231,451,289,71,93,11,85
20030609,1,71259,39648,19806,40667,76539,31109,29708,08963,49443,6512,6512,7537,6907, ,7620,1597,8099,9342, , ,890,968,255,54,67,20,27
20030610,2,62150,82450,74084,16135,31034,80043,52465,53843,99117,0284,0284,0191,5635, ,8600,7521,6899,2012, , ,978,315,104,44,69,46,20
20030611,3,15021,11843,04943,80099,87900,60175,78250,89095,80235,4425,4425,6100,3500, ,1861,3401,9833,3949, , ,118,804,692,73,10,26,07
20030612,4,60687,38309,43239,54791,66036,43447,56084,47147,46516,7173,7173,1770,4402, ,6043,9433,8357,7160, , ,873,777,721,31,21,14,11
20030613,5,71924,82170,86261,52644,14956,35003,72620,26582,31297,9806,9806,7625,9317, ,1648,4486,3168,7981, , ,222,989,153,03,36,53,05
20030614,6,73302,03004,80105,66551,09858,07798,36382,89549,56849,3334,3334,5348,4823, ,5309,3818,0214,3504, , ,692,943,358,69,56,86,34
20030615,0,20685,76074,68476,53234,94637,65855,12918,64948,30879,5633,5633,8595,9892, ,6224,5499,4012,1598, , ,016,176,278,16,44,03,20
20030616,1,02246,52525,12889,52468,71869,87663,25315,43628,08298,0588,0588,8874,6766, ,5093,7453,3835,2699, , ,447,385,032,23,46,67,18
20030617,2,96962,78137,13740,48762,35324,07684,87608,19853,41268,4549,4549,5519,7677, ,4127,7892,3901,7814, , ,454,218,188,11,20,50,56
20030618,3,21847,58301,55450,23777,19621,57030,46343,78225,93669,0976,0976,9120,5917, ,1823,5391,4920,0338, , ,273,814,096,10,85,78,92
20030619,4,08847,14201,99860,24450,07052,30836,59073,41618,32141,8817,8817,2260,7932, ,3649,9361,3948,9345, , ,993,097,167,92,77,66,76
20030620,5,77238,71410,03930,82811,18197,17553,22453,45359,26232,4327,4327,5470,0948, ,9365,3378,0510,0135, , ,928,891,189,98,92,61,19
20030621,6,84369,58276,08254,59437,64174,23161,28138,74323,28239,8352,8352,9874,9209, ,7907,0249,7027,6728, , ,781,545,358,00,64,12,72
20030622,0,90946,19542,86072,17142,40821,30068,21338,04311,47910,5468,5468,4610,4205, ,8240,3227,2879,1233, , ,061,273,645,76,86,07,23
20030623,1,19592,45604,26541,57147,13402,32934,90205,67106,12197,5058,5058,1961,6963, ,9563,5850,4214,4627, , ,223,093,235,96,51,99,75
20030624,2,56268,39188,16265,11329,59097,65284,59220,77263,34015,7553,7553,7454,7245, ,2871,9870,1249,9741, , ,741,595,270,62,09,88,21
20030625,3,37636,56046,28585,47037,10770,55065,18083,42480,97155,9273,9273,0449,6543, ,5056,1758,1943,4048, , ,826,451,784,86,64,79,26
20030626,4,03017,31009,53953,74830,50846,87714,83681,87000,50408,9040,9040,3915,4639, ,0590,4293,2185,5404, , ,006,835,877,32,14,51,87
20030627,5,18045,74249,19977,91246,27780,62937,43662,05310,61857,4311,4311,6296,9706, ,8854,6644,9153,1952, , ,692,628,844,90,75,71,83
20030628,6,23390,11253,84301,59755,35995,29613,58021,65823,44979,1558,1558,9557,5867, ,7844,2277,6428,8993, , ,398,616,145,66,28,50,25
20030629,0,42959,74034,87339,86090,11269,38421,77898,74331,90027,1516,1516,1710,6052, ,5353,1843,0870,9951, , ,618,467,146,22,14,31,33
20030630,1,83340,00547,18668,78680,71326,67401,15282,35512,95646,5626,5626,1118,5166, ,6311,6840,4959,1820, , ,337,755,477,02,88,14,05
20030701,2,70699,24929,42973,40937,16926,61385,11019,66646,92323,7042,7042,7701,2096, ,4274,2744,6596,7332, , ,607,425,874,14,59,87,73
20030702,3,52834,99470,78755,94732,52404,31707,50451,00262,78632,2967,2967,9357,9071, ,8800,7043,5655,8645, , ,559,060,167,87,98,43,17
20030703,4,07762,74594,55302,03778,94018,56650,76676,62027,25655,5350,5350,6672,7239, ,4236,8120,7837,4900, , ,907,672,431,36,18,25,20
20030704,5,14165,79346,61281,82921,90523,73714,68340,03752,37805,3724,3724,1924,9203, ,0535,8234,2361,9609, , ,918,263,849,63,50,52,05
20030705,6,91356,09990,15215,24314,22556,93949,54263,99814,99078,1899,1899,5073,1906, ,4686,0261,4028,8093, , ,128,620,857,00,30,18,07
20030706,0,80345,03195,60283,73456,45821,45756,37824,80783,68759,0326,0326,3971,1382, ,9768,3999,3576,4231, , ,905,314,617,98,32,35,87
20030707,1,11269,71744,50229,88453,09898,67200,43009,15747,13731,8700,8700,9865,2988, ,5282,7280,4215,2426, , ,951,866,820,91,51,09,92
20030708,2,82223,80366,70862,07628,10927,05683,53014,05881,40736,6153,6153,3607,4689, ,1544,0834,5067,5586, , ,666,997,381,80,38,94,90
20030709,3,01302,08043,79952,49534,16091,00732,14792,05122,61621,4606,4606,1436,3544, ,0497,3621,1232,6159, , ,468,629,796,96,89,38,75
20030710,4,38221,39356,52140,85040,29470,60112,12812,26894,00320,0143,0143,2232,0616, ,9760,4734,9131,1066, , ,108,039,524,79,49,06,05
20030711,5,63222,09812,45204,13128,53115,52685,85304,51444,32413,5215,5215,3557,6100, ,4443,3905,9357,6331, , ,357,480,310,50,46,71,69
20030712,6,65347,08561,16059,51106,44704,80744,78676,31799,96917,8890,8890,4779,8318, ,7705,8620,5499,2624, , ,698,243,401,32,21,48,70
20030713,0,58829,32519,58903,01984,46864,42556,09851,74103,89997,9164,9164,2572,0123, ,2222,3632,5789,4079, , ,508,198,816,74,20,07,00
20030714,1,84871,95281,84834,49509,30324,84903,51477,42212,76596,2969,2969,1479,2046, ,4893,8364,6881,2141, , ,611,680,545,56,92,97,98
20030715,2,66325,09553,32333,21326,65130,19268,58598,56685,72480,6483,6483,4777,8257, ,6938,8992,8647,8788, , ,918,136,844,11,45,65,91
20030716,3,92131,49961,02890,25618,97985,59686,76850,40997,21838,5724,5724,9450,9500, ,4387,5346,5216,6894, , ,958,511,848,28,82,53,92
20030717,4,61964,58679,49679,46043,78137,06339,00425,01097,82268,3143,3143,3424,8495, ,6110,3546,4083,7620, , ,022,507,122,67,02,91,40
20030718,5,85838,98130,17420,43863,94244,58216,56427,21835,74643,3496,3496,9974,3700, ,6189,2856,9250,8449, , ,390,834,182,73,86,24,10
20030719,6,46882,04596,04456,23200,29973,12767,09842,26295,95987,2364,2364,8326,1363, ,7716,8206,0866,3422, , ,229,792,852,10,14,95,87
20030720,0,32371,28117,56370,74854,01016,75758,29232,47163,41953,1845,1845,8140,8530, ,1198,4507,7709,0378, , ,591,683,495,17,91,38,92
20030721,1,02621,90640,20247,30443,65016,32351,26172,14885,51512,8666,8666,7305,5469, ,3337,4557,0337,8948, , ,281,245,856,13,49,64,39
20030722,2,54135,46595,01195,65894,04719,87429,09509,19301,72619,8894,8894,6194,0168, ,1660,7213,9668,4629, , ,913,399,251,04,00,29,77
20030723,3,58466,02978,39686,80085,17187,34423,88689,50240,02014,3045,3045,8080,1770, ,0267,6536,4606,4742, , ,944,120,770,10,03,67,33
20030724,4,31150,85939,30487,55940,04024,17666,48625,30155,49348,4295,4295,3817,0875, ,6259,8406,8546,6857, , ,645,059,569,61,97,22,15
20030725,5,51616,01890,39983,98697,43455,20233,95493,87766,31855,6337,6337,3230,7101, ,4554,0148,4461,1288, , ,227,980,407,72,73,17,82
20030726,6,29943,23056,33087,09571,31706,72771,26302,62227,39476,2780,2780,1374,2866, ,1271,2266,5192,2533, , ,262,077,846,17,98,16,24
20030727,0,59885,85755,60826,76631,52915,19255,29784,81046,35188,6926,6926,2822,0371, ,1821,4782,8966,8030, , ,015,768,784,94,86,67,79
20030728,1,32026,35922,70354,28185,22546,62410,44535,93923,14924,5497,5497,5737,3745, ,3935,6937,8755,2931, , ,591,006,929,30,22,66,03
20030729,2,68207,04612,13199,15083,24796,56880,67601,29888,01227,6442,6442,1191,7850, ,3179,8864,4234,0930, , ,747,436,821,88,38,35,17
20030730,3,69198,18990,51549,88592,40761,02947,35324,74471,78005,3074,3074,0392,7915, ,6331,6704,3532,4520, , ,509,876,044,22,18,07,78
20030731,4,26029,37679,00721,83745,83181,62274,42506,80796,77016,0185,0185,0584,5751, ,3507,1911,6738,3478, , ,722,579,001,17,61,85,06
20030801,5,45178,84043,72091,95218,46490,37591,24841,32237,15370,8025,8025,1705,4956, ,2573,8963,0324,0071, , ,041,425,984,59,86,97,31
20030802,6,54017,56234,49868,44998,01119,60103,61529,96530,88915,1717,1717,9391,1599, ,5087,1084,9263,3272, , ,221,927,354,89,11,73,91
20030803,0,86039,81785,89838,18205,35140,87868,31799,80274,42922,7154,7154,0942,0072, ,3435,3391,1289,0733, , ,702,786,830,45,71,09,05
20030804,1,12387,70936,01398,48565,89149,97737,47544,47615,84394,3440,3440,6833,2627, ,9072,2916,9800,6013, , ,823,059,316,85,74,25,04
20030805,2,28647,16304,73982,39141,83376,03791,24197,36884,42956,2327,2327,2380,3231, ,5737,4059,6504,8102, , ,141,935,956,12,21,87,78
20030806,3,26176,98507,47657,16355,04130,11783,62468,67213,77246,8961,8961,8714,9795, ,3591,0459,9196,8867, , ,022,130,785,92,99,87,63
20030807,4,73750,42064,24146,55776,76480,56581,35245,03834,59085,6240,6240,4592,5873, ,2638,5805,5835,0277, , ,002,036,777,74,63,55,89
20030808,5,60421,37237,82460,41002,99444,65224,51333,35377,37792,6292,6292,5976,8582, ,8434,4032,3158,5730, , ,423,444,347,81,53,32,79
20030809,6,95443,55625,77374,05589,27237,04402,61029,66755,19272,3965,3965,0697,8436, ,9538,6772,6088,5369, , ,267,547,478,06,41,58,72
20030810,0,11467,73878,64978,80355,05266,39343,68832,52407,65709,7505,7505,8096,5683, ,5237,0590,0810,8121, , ,386,618,982,34,60,47,88
20030811,1,89843,96719,53557,22170,28017,15664,79994,09993,39740,3557,3557,7850,7218, ,4659,5755,5367,8925, , ,264,207,951,09,70,23,07
20030812,2,05349,81889,10988,50665,62331,66339,25632,52237,10707,6561,6561,2363,2121, ,2984,3234,2491,0512, , ,293,307,367,66,75,21,23
20030813,3,16435,58485,96550,55161,65327,19813,48206,41958,57197,5418,5418,5623,7563, ,6020,7491,1779,2352, , ,031,177,586,18,45,36,96
20030814,4,23294,34217,88466,48328,27140,55218,42184,15223,49276,2649,2649,6301,8754, ,7870,0035,6922,5869, , ,811,204,274,75,46,92,77
20030815,5,62299,81399,70501,60569,41258,67910,15177,85652,98077,5377,5377,0591,8210, ,0289,3851,8498,6997, , ,154,804,390,77,67,65,98
20030816,6,93228,30183,52972,15851,35591,71487,58994,68835,41669,8642,8642,2683,2618, ,4375,4266,0322,6307, , ,713,134,200,83,68,89,45
20030817,0,54675,60239,08659,57578,12304,37855,08396,86978,18765,8031,8031,3112,2057, ,1309,2811,1596,6536, , ,861,080,920,55,86,08,32
20030818,1,35629,55877,31617,06877,72908,18800,87539,48919,35521,9013,9013,1800,1422, ,8496,5186,7643,3496, , ,269,043,472,78,11,30,87
20030819,2,43654,12677,92376,57271,24456,93401,03529,69711,64008,8428,8428,6686,1896, ,6924,8755,0588,3652, , ,795,956,761,42,44,34,71
20030820,3,64202,88855,72615,08737,20604,37869,68496,79478,37353,4710,4710,9772,6672, ,1404,6778,1338,8758, , ,346,919,832,96,74,59,06
20030821,4,20733,61944,52977,52881,27601,00172,46305,52410,63443,7002,7002,4288,1473, ,6116,5423,9173,6350, , ,176,541,645,75,02,01,38
20030822,5,10503,81787,50127,84759,69818,22579,40526,89171,85365,1980,1980,8678,0958, ,1363,5340,6714,6092, , ,780,373,067,08,29,28,88
20030823,6,24607,00173,61652,32803,61700,26581,89618,26178,34370,1747,1747,8432,7028, ,2244,4261,1943,6200, , ,804,616,395,37,85,15,81
20030824,0,53114,78330,12375,57813,39887,98212,67635,45953,85568,5714,5714,4083,1869, ,6387,1215,6056,7988, , ,422,849,312,37,06,80,79
20030825,1,01935,51530,76437,61803,14517,23810,42232,00162,16330,2477,2477,1999,1451, ,5589,2692,0754,3552, , ,719,158,971,47,49,52,39
20030826,2,60692,30786,08756,36559,45013,42824,40013,64083,36036,1649,1649,4113,7597, ,4428,4536,8368,9627, , ,869,643,751,46,34,96,69
20030827,3,62989,50468,64543,22967,65730,19394,46491,95855,10945,7678,7678,7275,9122, ,5947,0344,1883,0724, , ,537,550,214,36,54,17,96
20030828,4,54847,11654,91387,23889,25505,63719,07734,78514,03515,7862,7862,3601,6770, ,7676,0893,9218,3193, , ,015,459,057,20,87,54,16
20030829,5,94956,51119,73314,81724,60479,22440,83074,06623,16704,2492,2492,8213,6384, ,3285,3027,8896,3628, , ,782,138,539,13,31,23,95
20030830,6,51583,29655,11517,74841,30334,40862,29887,00027,34428,1072,1072,9128,0301, ,3338,9055,6724,0059, , ,181,328,789,58,33,68,81
20030831,0,07669,61287,56969,29922,57830,05436,70973,58110,64359,0439,0439,5746,1956, ,8296,1361,3086,8165, , ,286,164,778,37,56,91,31
20030901,1,38110,38020,68102,97341,70838,18725,45351,71962,21523,3745,3745,3504,9343, ,2752,7611,3809,6299, , ,471,174,655,53,22,67,47
20030902,2,77344,26225,57503,17938,33186,33304,27975,02554,95837,1535,1535,1050,3114, ,9641,6941,8800,7423, , ,202,227,938,58,31,26,71
20030903,3,19110,45282,67211,27703,29288,45751,54274,82855,66549,2493,2493,3801,1471, ,9850,6900,7978,5729, , ,711,409,267,48,16,52,77
20030904,4,54053,11143,74866,64582,68072,53085,04744,03814,48119,8652,8652,4512,1659, ,6290,2098,7435,8631, , ,107,388,562,75,99,94,85
20030905,5,41520,75774,10395,85969,36619,15621,14763,24058,29414,8070,8070,1732,0987, ,0907,6976,7683,0429, , ,614,221,822,33,63,84,74
20030906,6,53170,53115,70666,62466,54598,23569,34886,94024,07057,6507,6507,6802,1474, ,4779,7459,9304,6347, , ,825,873,456,42,26,73,55
20030907,0,56705,55791,30531,82550,41148,67526,41165,50315,12037,0273,0273,1795,6156, ,8553,1019,7872,2199, , ,175,633,705,81,05,61,89
20030908,1,60733,91116,50800,35384,96733,66192,83824,60244,23444,7492,7492,2760,1237, ,9340,2052,5995,5216, , ,468,115,798,66,15,86,96
20030909,2,45669,80609,35316,40684,10851,32020,76597,79347,79898,0331,0331,6045,6605, ,1308,7636,8021,9424, , ,624,768,920,91,36,00,43
20030910,3,42323,15315,35762,44843,38726,35684,66254,70466,55250,6279,6279,6547,4962, ,8754,5485,8948,9503, , ,632,299,673,72,40,05,68
20030911,4,62977,76631,91554,22666,56900,33582,59347,82385,79447,0877,0877,5947,1799, ,9879,4237,8981,7265, , ,064,785,797,27,19,37,75
20030912,5,70122,99758,25886,56877,24175,01279,52295,75849,30631,8171,8171,4948,3592, ,6743,1096,1093,9720, , ,464,196,336,55,56,09,49
20030913,6,72411,67535,59891,39753,30869,02759,98068,91062,66419,8037,8037,3394,6969, ,4199,4657,1414,4438, , ,671,906,125,51,60,82,74
20030914,0,90836,48088,72740,92403,16672,36747,24202,83476,31850,2209,2209,7041,1231, ,6300,1415,1538,7856, , ,895,476,392,25,96,27,11
20030915,1,02672,10986,82089,01416,02696,02568,94047,13486,27592,6751,6751,5962,9155, ,0189,7236,0617,7600, , ,681,668,978,73,93,69,59
20030916,2,62184,66503,54501,30854,30163,22183,51220,12421,47646,4805,4805,1423,1731, ,9432,9574,7667,0133, , ,671,964,231,19,98,76,57
20030917,3,37473,47745,43860,98470,71422,40303,54612,16365,14091,3536,3536,6334,5240, ,1127,1868,4259,0966, , ,550,469,088,98,64,42,81
20030918,4,93171,66762,68494,57234,66046,20624,74395,11098,75228,7533,7533,6594,3273, ,5183,3794,0947,1804, , ,515,536,228,61,36,84,28
20030919,5,03902,39737,21538,59318,20246,87304,70870,20473,82497,8605,8605,5092,3227, ,4362,7829,1802,2538, , ,498,732,642,49,41,46,72
20030920,6,73703,73501,50644,56498,49239,71403,82526,33685,90464,4726,4726,4007,0230, ,0268,1941,0440,1369, , ,495,345,184,07,06,80,74
20030921,0,08725,94032,90592,96031,60044,79516,00057,17664,38877,9159,9159,3704,4519, ,5174,0142,5524,3815, , ,338,721,514,03,34,75,10
20030922,1,43343,81669,71216,51997,94437,64319,03152,57763,00625,2801,2801,6347,5004, ,7076,4998,8660,9138, , ,878,890,584,41,06,72,90
20030923,2,55621,94916,90358,18543,78063,91693,92184,44824,33934,5317,5317,7461,2351, ,8057,8584,0280,7326, , ,548,006,304,38,02,01,33
20030924,3,20921,96716,56523,27008,40219,12950,91820,07394,80158,4570,4570,4144,0135, ,2246,7461,6805,9201, , ,566,477,572,39,96,77,17
20030925,4,48857,73105,31678,44291,77990,23742,81107,64891,40162,5723,5723,1233,8286, ,4633,6546,4856,5114, , ,243,350,671,60,15,86,51
20030926,5,40723,14450,30166,42870,76400,07998,80643,99492,89910,3161,3161,3245,2504, ,9675,0323,2671,4379, , ,448,946,919,20,69,92,37
20030927,6,72080,25121,05969,03206,45987,27281,06187,12379,44695,5708,5708,0612,2444, ,6493,6165,2133,0663, , ,375,742,446,23,17,59,04
20030928,0,30994,10046,22004,50332,98825,64137,86916,78819,80488,9977,9977,0278,9256, ,8862,0645,2560,1250, , ,850,932,788,74,29,73,44
20030929,1,31623,88884,38586,70506,83521,86971,57125,29502,74252,7986,7986,8906,6497, ,4829,1655,3816,0272, , ,945,089,944,12,26,21,60
20030930,2,76623,54779,77850,27242,19742,83176,13856,52504,88675,1435,1435,4563,2902, ,7226,4073,3542,4392, , ,577,587,699,51,97,37,67
20031001,3,49265,98915,49141,85442,89962,67038,17114,76612,96289,1602,1602,6898,1487, ,3769,8573,4663,8029, , ,161,821,515,85,21,00,65
20031002,4,84587,61302,89456,76422,02518,92928,57116,34657,19036,1965,1965,8409,9247, ,8042,9980,7432,8040, , ,439,218,062,56,55,90,80
20031003,5,23398,16140,05028,95575,14569,08999,74850,16572,39179,0018,0018,5377,3695, ,7798,9474,9030,2458, , ,085,823,239,67,19,63,85
20031004,6,71454,66901,19260,44537,26514,28674,22413,98406,92576,9358,9358,6698,3370, ,7550,1217,8932,9661, , ,834,042,743,17,27,13,59
20031005,0,23580,67495,02164,05956,99829,38301,21642,00341,70196,4073,4073,5465,5725, ,5510,2346,1808,3669, , ,745,423,203,43,34,98,89
20031006,1,72604,92149,52011,88052,48946,61210,24828,09366,10956,8224,8224,1630,8069, ,1193,6355,3741,2336, , ,780,652,008,90,72,08,06
20031007,2,25088,93769,84199,16688,50766,06971,37264,29452,74039,3854,3854,6579,3686, ,9020,5063,2546,7912, , ,613,857,801,26,47,91,50
20031008,3,99437,31710,74302,06783,82559,63938,02143,55359,74647,7179,7179,6324,1307, ,5384,6447,6283,2422, , ,298,077,156,35,48,25,24
20031009,4,09441,84030,00006,42965,36275,02143,62994,78796,09386,0656,0656,5331,8788, ,2977,1378,3741,7623, , ,125,823,695,66,38,93,47
20031010,5,59690,04052,88149,63024,84338,62427,77060,45674,96392,5322,5322,4363,5473, ,3710,2192,7580,9290, , ,487,437,091,21,30,11,50
20031011,6,67819,05634,46014,09011,15021,30292,43683,26792,35687,2692,2692,6541,6866, ,9018,0412,2078,0482, , ,863,183,688,53,61,28,23
20031012,0,89788,04798,71834,95782,45548,69817,31793,65612,85252,8261,8261,7666,3159, ,3186,5275,5761,7401, , ,995,439,103,05,75,52,72
20031013,1,48220,25519,72065,20032,19762,47170,12321,45164,30726,0869,0869,6611,0246, ,0648,8377,5500,0144, , ,139,364,503,95,40,36,22
20031014,2,09405,03827,06480,07164,47773,12230,02455,94665,95759,7196,7196,2509,7542, ,4563,4746,5838,1359, , ,148,436,498,37,98,40,52
20031015,3,76534,90715,08871,58245,58778,62224,81211,68975,22165,9145,9145,3090,5609, ,9787,6465,7977,8535, , ,200,628,503,86,68,28,87
20031016,4,46834,54043,76413,31235,79493,97826,42331,29075,12841,7785,7785,6843,7584, ,9706,2120,7109,2303, , ,422,660,748,72,07,74,32
20031017,5,15053,31961,68846,27881,65361,77753,57791,79919,93621,3160,3160,6640,3095, ,9393,5473,9730,9993, , ,005,879,827,79,35,88,14
20031018,6,14007,33191,00375,76606,29030,87537,28603,89884,59551,8589,8589,6690,2548, ,2579,9107,6665,3727, , ,842,383,980,95,15,82,99
20031019,0,02180,95069,11366,75407,64786,87152,03033,36847,89414,0072,0072,1864,2936, ,0099,1953,8046,0871, , ,861,200,830,07,18,72,67
