gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
49343,22981,87932,11925,87361,92611,26452,68119,97991,1023,1023,0436,6226,6343,3449,1449,4989,5962,9944,8481,832,312,389,92,52,88,97,09704,76122,87464,13641,39132,01802,79332,29604,40509,6324,6324,2998,5955,9811,3377,6419,7610,8461,7840,9418,040,342,881,29,93,72,61,42,52,92,89,66,62,81,44,84,52,52,80,92,28,79,83,94,31,08,04,36,33,23,06,69,32,95
09704,76122,87464,13641,39132,01802,79332,29604,40509,6324,6324,2998,5955,9811,3377,6419,7610,8461,7840,9418,040,342,881,29,93,72,61,98641,71063,63074,96516,39054,60631,40391,64689,67796,8617,8617,4392,5140,9234,2437,6750,0059,4980,9129,2016,340,228,844,99,06,75,30,09,92,44,17,65,35,78,91,22,21,21,46,77,26,07,46,39,54,21,04,52,42,44,05,77,14,48
98641,71063,63074,96516,39054,60631,40391,64689,67796,8617,8617,4392,5140,9234,2437,6750,0059,4980,9129,2016,340,228,844,99,06,75,30,36742,20552,33192,87489,68066,04362,08681,95744,15184,9152,9152,4780,4892,9528,3079,2083,8494,7331,1208,4304,236,433,323,06,69,32,95,25,45,63,12,43,99,85,68,88,14,14,50,77,39,27,87,79,54,68,78,40,48,95,51,71,66,90
36742,20552,33192,87489,68066,04362,08681,95744,15184,9152,9152,4780,4892,9528,3079,2083,8494,7331,1208,4304,236,433,323,06,69,32,95,82009,02692,92344,45117,43565,23935,67778,89991,51722,3721,3721,7946,7977,5826,3707,6646,1139,0354,0921,8704,952,942,344,05,77,14,48,06,82,70,44,53,35,31,81,34,04,04,57,28,77,23,10,38,70,76,48,82,90,02,22,14,68,75
82009,02692,92344,45117,43565,23935,67778,89991,51722,3721,3721,7946,7977,5826,3707,6646,1139,0354,0921,8704,952,942,344,05,77,14,48,85725,91245,36963,27012,43143,73399,13985,84768,09488,2914,2914,2150,4977,2639,0927,6687,5479,3554,4268,5778,840,348,295,51,71,66,90,06,06,38,67,13,50,56,43,35,79,79,12,01,43,17,86,22,89,75,56,01,80,70,39,58,81,50
85725,91245,36963,27012,43143,73399,13985,84768,09488,2914,2914,2150,4977,2639,0927,6687,5479,3554,4268,5778,840,348,295,51,71,66,90,06606,89582,25270,71044,08653,80935,12531,19181,27334,7004,7004,5157,1928,7577,7323,3910,1438,2470,9576,0648,482,490,702,22,14,68,75,91,45,43,10,21,78,73,72,66,38,38,50,78,66,98,58,25,80,14,54,38,37,46,98,31,39,92
06606,89582,25270,71044,08653,80935,12531,19181,27334,7004,7004,5157,1928,7577,7323,3910,1438,2470,9576,0648,482,490,702,22,14,68,75,86206,01906,50838,69067,85313,39750,77556,52443,58635,1979,1979,6512,1501,9143,5917,2886,7622,1189,6575,3756,001,180,970,39,58,81,50,80,13,00,01,64,51,29,32,49,06,06,42,61,58,83,78,15,69,54,66,48,72,24,06,34,87,64
86206,01906,50838,69067,85313,39750,77556,52443,58635,1979,1979,6512,1501,9143,5917,2886,7622,1189,6575,3756,001,180,970,39,58,81,50,76691,53045,78843,25710,92121,67278,78273,18872,70366,7638,7638,9850,9878,3866,0698,0758,5525,6680,7314,5854,638,337,746,98,31,39,92,89,66,95,56,73,64,34,77,26,78,78,79,74,15,13,69,12,45,32,57,70,31,13,88,34,78,77
76691,53045,78843,25710,92121,67278,78273,18872,70366,7638,7638,9850,9878,3866,0698,0758,5525,6680,7314,5854,638,337,746,98,31,39,92,00580,92313,95300,94001,17464,46451,19329,20232,48449,2406,2406,9142,7461,0358,3883,2078,9215,1669,8054,0566,748,672,424,06,34,87,64,37,77,22,09,47,01,56,01,06,51,51,45,18,22,76,94,32,23,23,63,57,26,82,84,99,32,18
00580,92313,95300,94001,17464,46451,19329,20232,48449,2406,2406,9142,7461,0358,3883,2078,9215,1669,8054,0566,748,672,424,06,34,87,64,04089,60066,76195,37756,36573,79764,06634,79077,79526,7678,7678,3179,1474,3515,7413,8269,0312,6745,4432,5457,270,931,313,88,34,78,77,65,25,62,57,01,06,64,62,45,14,14,35,14,66,15,51,35,20,98,74,77,25,49,31,06,32,91
