gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
86525,44901,84593,41385,36633,21757,58844,42857,75071,6162,6162,3193,9896,0,3956,9068,2152,1350,0,0,179,765,459,73,07,53,76,36080,10376,08147,41094,16986,14536,36224,36683,48769,4590,4590,7770,9681,0,1896,0707,6168,6961,0,0,302,133,442,70,36,52,38,26892,85359,65918,44757,20172,47146,64259,89053,11542,2765,2765,5926,4737,0,4817,2335,0724,3271,0,0,489,133,791,57,77,47,48
36080,10376,08147,41094,16986,14536,36224,36683,48769,4590,4590,7770,9681,0,1896,0707,6168,6961,0,0,302,133,442,70,36,52,38,78963,55549,62590,36988,16691,28564,00139,31309,30684,9694,9694,1414,3957,0,6719,9126,4959,2163,0,0,708,206,762,14,81,03,96,85114,05587,10763,24259,64538,50551,57726,58718,93118,1064,1064,4647,2509,0,6366,9765,7613,2611,0,0,995,119,169,28,18,06,05
78963,55549,62590,36988,16691,28564,00139,31309,30684,9694,9694,1414,3957,0,6719,9126,4959,2163,0,0,708,206,762,14,81,03,96,26892,85359,65918,44757,20172,47146,64259,89053,11542,2765,2765,5926,4737,0,4817,2335,0724,3271,0,0,489,133,791,57,77,47,48,82892,87797,76965,26728,33583,21742,98059,22651,00815,4425,4425,4806,0478,0,8838,2501,1289,7774,0,0,298,329,580,55,26,21,77
26892,85359,65918,44757,20172,47146,64259,89053,11542,2765,2765,5926,4737,0,4817,2335,0724,3271,0,0,489,133,791,57,77,47,48,85114,05587,10763,24259,64538,50551,57726,58718,93118,1064,1064,4647,2509,0,6366,9765,7613,2611,0,0,995,119,169,28,18,06,05,34605,06261,95610,22320,68810,75030,47719,22810,52596,0311,0311,9786,6385,0,5189,5060,8901,3755,0,0,466,449,197,68,23,40,59
85114,05587,10763,24259,64538,50551,57726,58718,93118,1064,1064,4647,2509,0,6366,9765,7613,2611,0,0,995,119,169,28,18,06,05,82892,87797,76965,26728,33583,21742,98059,22651,00815,4425,4425,4806,0478,0,8838,2501,1289,7774,0,0,298,329,580,55,26,21,77,36123,41529,00528,23771,49547,70318,29294,55871,80222,6092,6092,8688,2599,0,3225,9725,8698,6210,0,0,860,772,280,80,75,23,85
82892,87797,76965,26728,33583,21742,98059,22651,00815,4425,4425,4806,0478,0,8838,2501,1289,7774,0,0,298,329,580,55,26,21,77,34605,06261,95610,22320,68810,75030,47719,22810,52596,0311,0311,9786,6385,0,5189,5060,8901,3755,0,0,466,449,197,68,23,40,59,95375,84942,17790,60073,30906,32532,63477,65918,83107,5975,5975,9959,3509,0,7263,3461,7167,1843,0,0,333,694,464,47,78,32,58
34605,06261,95610,22320,68810,75030,47719,22810,52596,0311,0311,9786,6385,0,5189,5060,8901,3755,0,0,466,449,197,68,23,40,59,36123,41529,00528,23771,49547,70318,29294,55871,80222,6092,6092,8688,2599,0,3225,9725,8698,6210,0,0,860,772,280,80,75,23,85,21631,51705,97856,09596,57020,95014,39226,03176,99965,2960,2960,2747,2906,0,0359,8697,5963,1989,0,0,308,290,157,25,45,88,13
36123,41529,00528,23771,49547,70318,29294,55871,80222,6092,6092,8688,2599,0,3225,9725,8698,6210,0,0,860,772,280,80,75,23,85,95375,84942,17790,60073,30906,32532,63477,65918,83107,5975,5975,9959,3509,0,7263,3461,7167,1843,0,0,333,694,464,47,78,32,58,74392,91428,02542,89186,83664,32009,16367,62262,65383,0152,0152,1486,7814,0,7769,0675,4373,2753,0,0,936,201,317,99,03,48,93
95375,84942,17790,60073,30906,32532,63477,65918,83107,5975,5975,9959,3509,0,7263,3461,7167,1843,0,0,333,694,464,47,78,32,58,21631,51705,97856,09596,57020,95014,39226,03176,99965,2960,2960,2747,2906,0,0359,8697,5963,1989,0,0,308,290,157,25,45,88,13,28322,71086,51674,43286,96411,11488,41292,66453,09125,2211,2211,0962,8854,0,7499,3487,7986,1925,0,0,594,042,961,77,32,58,73
21631,51705,97856,09596,57020,95014,39226,03176,99965,2960,2960,2747,2906,0,0359,8697,5963,1989,0,0,308,290,157,25,45,88,13,74392,91428,02542,89186,83664,32009,16367,62262,65383,0152,0152,1486,7814,0,7769,0675,4373,2753,0,0,936,201,317,99,03,48,93,74052,05194,82102,88692,93469,17653,70758,30201,94418,6931,6931,3955,2166,0,7257,2265,8463,9914,0,0,699,179,153,95,14,16,90
74392,91428,02542,89186,83664,32009,16367,62262,65383,0152,0152,1486,7814,0,7769,0675,4373,2753,0,0,936,201,317,99,03,48,93,28322,71086,51674,43286,96411,11488,41292,66453,09125,2211,2211,0962,8854,0,7499,3487,7986,1925,0,0,594,042,961,77,32,58,73,39159,37676,88331,43046,10415,17115,56724,57939,51287,3917,3917,2831,5261,0,4765,5113,5850,1425,0,0,191,385,154,34,57,33,01
28322,71086,51674,43286,96411,11488,41292,66453,09125,2211,2211,0962,8854,0,7499,3487,7986,1925,0,0,594,042,961,77,32,58,73,74052,05194,82102,88692,93469,17653,70758,30201,94418,6931,6931,3955,2166,0,7257,2265,8463,9914,0,0,699,179,153,95,14,16,90,68334,07719,31293,45688,23320,96609,10698,26264,80642,6786,6786,2602,5920,0,8960,4127,9758,9235,0,0,145,958,443,17,61,63,20
