gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,ngay
29996,29783,75476,17798,59418,16892,34689,32653,29770,2759,2759,9796,0197,6214,5465,6302,8191,2036,6257,7663,668,375,143,20,80,68,01,92264,13667,73861,91927,54402,77150,66741,02310,06260,6102,6102,6637,1441,5429,7524,8003,1972,1634,6100,3003,643,982,340,14,10,71,31,88182,86741,81804,74028,90173,98263,86313,39388,76776,0297,0297,9048,1587,7846,4219,8427,3099,7549,9374,5977,090,695,485,19,34,92,20,89665,42044,94296,58067,72571,67501,86583,15273,63103,1896,1896,1660,6758,2294,8274,9431,4104,9453,5764,9597,918,388,484,27,94,15,91,20220222
92264,13667,73861,91927,54402,77150,66741,02310,06260,6102,6102,6637,1441,5429,7524,8003,1972,1634,6100,3003,643,982,340,14,10,71,31,88182,86741,81804,74028,90173,98263,86313,39388,76776,0297,0297,9048,1587,7846,4219,8427,3099,7549,9374,5977,090,695,485,19,34,92,20,89665,42044,94296,58067,72571,67501,86583,15273,63103,1896,1896,1660,6758,2294,8274,9431,4104,9453,5764,9597,918,388,484,27,94,15,91,41055,40734,37946,22832,80059,34440,00202,23332,82482,5962,5962,0272,7193,8779,1922,5015,3929,6964,1318,7187,661,193,648,40,54,38,30,20220223
88182,86741,81804,74028,90173,98263,86313,39388,76776,0297,0297,9048,1587,7846,4219,8427,3099,7549,9374,5977,090,695,485,19,34,92,20,89665,42044,94296,58067,72571,67501,86583,15273,63103,1896,1896,1660,6758,2294,8274,9431,4104,9453,5764,9597,918,388,484,27,94,15,91,41055,40734,37946,22832,80059,34440,00202,23332,82482,5962,5962,0272,7193,8779,1922,5015,3929,6964,1318,7187,661,193,648,40,54,38,30,25351,04433,97279,89295,87954,57318,68979,58191,67912,6703,6703,7837,8935,4256,4688,3642,5518,2865,9828,3771,628,463,349,51,79,43,09,20220224
89665,42044,94296,58067,72571,67501,86583,15273,63103,1896,1896,1660,6758,2294,8274,9431,4104,9453,5764,9597,918,388,484,27,94,15,91,41055,40734,37946,22832,80059,34440,00202,23332,82482,5962,5962,0272,7193,8779,1922,5015,3929,6964,1318,7187,661,193,648,40,54,38,30,25351,04433,97279,89295,87954,57318,68979,58191,67912,6703,6703,7837,8935,4256,4688,3642,5518,2865,9828,3771,628,463,349,51,79,43,09,16480,86594,95398,37531,91991,24901,13709,48113,55165,0087,0087,4104,4610,1197,2454,9376,7520,3286,5803,2266,667,512,834,65,34,92,18,20220225
41055,40734,37946,22832,80059,34440,00202,23332,82482,5962,5962,0272,7193,8779,1922,5015,3929,6964,1318,7187,661,193,648,40,54,38,30,25351,04433,97279,89295,87954,57318,68979,58191,67912,6703,6703,7837,8935,4256,4688,3642,5518,2865,9828,3771,628,463,349,51,79,43,09,16480,86594,95398,37531,91991,24901,13709,48113,55165,0087,0087,4104,4610,1197,2454,9376,7520,3286,5803,2266,667,512,834,65,34,92,18,09401,71268,42426,04597,77912,82347,71504,97498,11092,5126,5126,7842,4915,1783,1291,5959,0924,7619,2328,5394,559,705,373,34,24,15,26,20220226
25351,04433,97279,89295,87954,57318,68979,58191,67912,6703,6703,7837,8935,4256,4688,3642,5518,2865,9828,3771,628,463,349,51,79,43,09,16480,86594,95398,37531,91991,24901,13709,48113,55165,0087,0087,4104,4610,1197,2454,9376,7520,3286,5803,2266,667,512,834,65,34,92,18,09401,71268,42426,04597,77912,82347,71504,97498,11092,5126,5126,7842,4915,1783,1291,5959,0924,7619,2328,5394,559,705,373,34,24,15,26,07631,39603,79799,95760,56317,09250,81252,63764,63155,3260,3260,9343,1811,9978,3146,2111,5447,9333,7233,9494,579,796,580,06,26,31,32,20220227
16480,86594,95398,37531,91991,24901,13709,48113,55165,0087,0087,4104,4610,1197,2454,9376,7520,3286,5803,2266,667,512,834,65,34,92,18,09401,71268,42426,04597,77912,82347,71504,97498,11092,5126,5126,7842,4915,1783,1291,5959,0924,7619,2328,5394,559,705,373,34,24,15,26,07631,39603,79799,95760,56317,09250,81252,63764,63155,3260,3260,9343,1811,9978,3146,2111,5447,9333,7233,9494,579,796,580,06,26,31,32,70968,25814,14096,62584,76204,58369,81154,70387,15717,4948,4948,0561,5353,1068,1315,3450,8468,8475,1184,8693,117,675,279,59,19,72,83,20220228
09401,71268,42426,04597,77912,82347,71504,97498,11092,5126,5126,7842,4915,1783,1291,5959,0924,7619,2328,5394,559,705,373,34,24,15,26,07631,39603,79799,95760,56317,09250,81252,63764,63155,3260,3260,9343,1811,9978,3146,2111,5447,9333,7233,9494,579,796,580,06,26,31,32,70968,25814,14096,62584,76204,58369,81154,70387,15717,4948,4948,0561,5353,1068,1315,3450,8468,8475,1184,8693,117,675,279,59,19,72,83,89075,98757,90657,25115,24396,82618,37376,70103,02173,9095,9095,0849,8489,9704,1732,4176,3716,1320,2369,9305,371,119,012,16,90,45,64,20220301
07631,39603,79799,95760,56317,09250,81252,63764,63155,3260,3260,9343,1811,9978,3146,2111,5447,9333,7233,9494,579,796,580,06,26,31,32,70968,25814,14096,62584,76204,58369,81154,70387,15717,4948,4948,0561,5353,1068,1315,3450,8468,8475,1184,8693,117,675,279,59,19,72,83,89075,98757,90657,25115,24396,82618,37376,70103,02173,9095,9095,0849,8489,9704,1732,4176,3716,1320,2369,9305,371,119,012,16,90,45,64,24876,80854,99828,23837,84735,71029,99393,44993,87879,0364,0364,5906,7191,2777,3102,5866,6549,5033,0953,3745,760,509,801,76,51,72,13,20220302
70968,25814,14096,62584,76204,58369,81154,70387,15717,4948,4948,0561,5353,1068,1315,3450,8468,8475,1184,8693,117,675,279,59,19,72,83,89075,98757,90657,25115,24396,82618,37376,70103,02173,9095,9095,0849,8489,9704,1732,4176,3716,1320,2369,9305,371,119,012,16,90,45,64,24876,80854,99828,23837,84735,71029,99393,44993,87879,0364,0364,5906,7191,2777,3102,5866,6549,5033,0953,3745,760,509,801,76,51,72,13,09390,24578,60358,99540,63583,13712,45763,74024,85468,5913,5913,5656,9302,8147,4857,5624,4734,6674,6345,2696,690,549,354,08,29,43,12,20220303
