gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
73,30,58,31,58,60,29,71,24,33,33,68,00,39,46,43,81,95,89,11,21,20,33,31,56,51,96,59,61,01,44,88,21,40,51,48,72,72,08,26,85,81,29,97,47,64,88,42,22,24,11,36,21,99,62,44,25,37,14,50,12,07,90,94,94,16,42,43,27,71,03,59,67,43,15,77,02,29,32,58,36,31,88,34,61,91,35,46,41,31,98,98,17,88,86,91,87,01,51,63,35,83,06,76,21,71,91,40,74,20,13,91,01,78,36,54,14,95,95,97,81,33,71,65,20,52,24,50,79,33,49,37,53,41,28
59,61,01,44,88,21,40,51,48,72,72,08,26,85,81,29,97,47,64,88,42,22,24,11,36,21,99,62,44,25,37,14,50,12,07,90,94,94,16,42,43,27,71,03,59,67,43,15,77,02,29,32,58,36,31,88,34,61,91,35,46,41,31,98,98,17,88,86,91,87,01,51,63,35,83,06,76,21,71,91,40,17,88,78,89,50,57,29,04,74,74,74,22,05,08,28,18,96,60,99,62,60,56,56,81,72,64,23,05,22,73,67,70,10,37,62,68,10,10,66,08,14,91,96,93,71,57,42,06,23,16,63,83,99,47
62,44,25,37,14,50,12,07,90,94,94,16,42,43,27,71,03,59,67,43,15,77,02,29,32,58,36,31,88,34,61,91,35,46,41,31,98,98,17,88,86,91,87,01,51,63,35,83,06,76,21,71,91,40,17,88,78,89,50,57,29,04,74,74,74,22,05,08,28,18,96,60,99,62,60,56,56,81,72,64,23,74,20,13,91,01,78,36,54,14,95,95,97,81,33,71,65,20,52,24,50,79,33,49,37,53,41,28,89,13,63,26,26,26,69,77,13,10,10,96,83,75,53,10,71,78,41,93,79,37,70,48,96,76,32
31,88,34,61,91,35,46,41,31,98,98,17,88,86,91,87,01,51,63,35,83,06,76,21,71,91,40,17,88,78,89,50,57,29,04,74,74,74,22,05,08,28,18,96,60,99,62,60,56,56,81,72,64,23,74,20,13,91,01,78,36,54,14,95,95,97,81,33,71,65,20,52,24,50,79,33,49,37,53,41,28,05,22,73,67,70,10,37,62,68,10,10,66,08,14,91,96,93,71,57,42,06,23,16,63,83,99,47,57,91,84,21,77,80,70,82,68,80,80,93,00,22,49,92,53,50,46,63,89,04,20,42,29,08,78
17,88,78,89,50,57,29,04,74,74,74,22,05,08,28,18,96,60,99,62,60,56,56,81,72,64,23,74,20,13,91,01,78,36,54,14,95,95,97,81,33,71,65,20,52,24,50,79,33,49,37,53,41,28,05,22,73,67,70,10,37,62,68,10,10,66,08,14,91,96,93,71,57,42,06,23,16,63,83,99,47,89,13,63,26,26,26,69,77,13,10,10,96,83,75,53,10,71,78,41,93,79,37,70,48,96,76,32,08,55,54,50,32,09,42,93,73,10,10,60,53,81,90,07,37,48,32,08,17,93,13,85,63,53,36
74,20,13,91,01,78,36,54,14,95,95,97,81,33,71,65,20,52,24,50,79,33,49,37,53,41,28,05,22,73,67,70,10,37,62,68,10,10,66,08,14,91,96,93,71,57,42,06,23,16,63,83,99,47,89,13,63,26,26,26,69,77,13,10,10,96,83,75,53,10,71,78,41,93,79,37,70,48,96,76,32,57,91,84,21,77,80,70,82,68,80,80,93,00,22,49,92,53,50,46,63,89,04,20,42,29,08,78,62,66,84,50,80,20,17,96,23,67,67,88,30,95,89,45,99,64,87,61,39,73,62,59,64,70,01
05,22,73,67,70,10,37,62,68,10,10,66,08,14,91,96,93,71,57,42,06,23,16,63,83,99,47,89,13,63,26,26,26,69,77,13,10,10,96,83,75,53,10,71,78,41,93,79,37,70,48,96,76,32,57,91,84,21,77,80,70,82,68,80,80,93,00,22,49,92,53,50,46,63,89,04,20,42,29,08,78,08,55,54,50,32,09,42,93,73,10,10,60,53,81,90,07,37,48,32,08,17,93,13,85,63,53,36,44,00,84,33,14,80,20,97,37,76,76,48,13,74,50,56,20,84,59,33,88,33,10,72,04,48,45
89,13,63,26,26,26,69,77,13,10,10,96,83,75,53,10,71,78,41,93,79,37,70,48,96,76,32,57,91,84,21,77,80,70,82,68,80,80,93,00,22,49,92,53,50,46,63,89,04,20,42,29,08,78,08,55,54,50,32,09,42,93,73,10,10,60,53,81,90,07,37,48,32,08,17,93,13,85,63,53,36,62,66,84,50,80,20,17,96,23,67,67,88,30,95,89,45,99,64,87,61,39,73,62,59,64,70,01,49,08,72,85,55,20,52,90,85,20,20,73,03,74,76,39,85,11,14,77,06,47,16,26,07,93,86
57,91,84,21,77,80,70,82,68,80,80,93,00,22,49,92,53,50,46,63,89,04,20,42,29,08,78,08,55,54,50,32,09,42,93,73,10,10,60,53,81,90,07,37,48,32,08,17,93,13,85,63,53,36,62,66,84,50,80,20,17,96,23,67,67,88,30,95,89,45,99,64,87,61,39,73,62,59,64,70,01,44,00,84,33,14,80,20,97,37,76,76,48,13,74,50,56,20,84,59,33,88,33,10,72,04,48,45,77,02,11,59,46,86,01,93,90,36,36,30,48,49,18,92,80,17,05,60,23,56,84,34,83,24,62
08,55,54,50,32,09,42,93,73,10,10,60,53,81,90,07,37,48,32,08,17,93,13,85,63,53,36,62,66,84,50,80,20,17,96,23,67,67,88,30,95,89,45,99,64,87,61,39,73,62,59,64,70,01,44,00,84,33,14,80,20,97,37,76,76,48,13,74,50,56,20,84,59,33,88,33,10,72,04,48,45,49,08,72,85,55,20,52,90,85,20,20,73,03,74,76,39,85,11,14,77,06,47,16,26,07,93,86,64,56,52,61,84,94,73,63,56,59,59,07,38,62,34,13,11,19,17,72,12,51,40,16,68,50,37
